0,1,2,3,4,5,6,7,8,9,10,11
-0.021794533,0.07984595,-0.057534683,-0.054553505,-0.015913783,0.020206114,-0.037016608,0.01986856,0.035868272,-0.048193198,-0.0071429885,0.02449529
-0.0943515,0.071289875,-0.07308613,-0.06777111,-0.06738535,0.05648079,-0.07537099,-0.041429635,-0.0035143648,-0.109817594,-0.022947723,0.036931995
-0.0645688,0.08106246,0.0177052,-0.03784633,-0.056430914,0.08670203,-0.053151213,-0.077474356,-0.03398635,-0.044804893,0.021921847,0.021853037
-0.062306654,0.07101492,0.013055209,-0.1300551,-0.04296654,0.06701371,-0.059047595,-0.12343645,-0.034495253,-0.11820257,-0.017155096,0.0052286806
-0.06336274,0.05593862,0.039429627,-0.14570005,-0.058451913,0.070604995,-0.037884634,-0.11878572,-0.05694136,-0.08938769,-0.048176546,-0.03682542
-0.07065268,0.10804749,0.017581707,-0.1720969,-0.042528085,0.046861485,-0.006613903,-0.1388024,-0.07397649,-0.0982099,-0.06905693,-0.04785593
0.002866588,0.114554696,-0.011703761,-0.11057751,-0.01988858,0.1196006,-0.047839873,-0.09655857,-0.043976415,-0.07275684,-0.0669549,-0.025686573
0.0765317,-0.01265196,-0.09843197,-0.15177034,0.049878716,0.011071766,0.03400528,-0.09868814,0.0085380385,-0.026436754,-0.047836572,-0.029851386
-0.040751792,-0.26241738,-0.24580097,0.420202,0.027815437,-0.24169254,0.012916652,0.058157843,0.1561074,-0.008677503,-0.023427788,0.018479448
0.36146766,-0.378113,-0.3512866,0.41231897,0.29826257,-0.366785,0.2633002,0.39353338,0.400213,0.39156505,0.07636457,0.21705619
0.45268482,-0.5670625,-0.6605259,0.4258205,0.45364234,-0.7320057,-0.10830822,0.47250918,0.45940548,0.4434117,0.4418434,0.46272194
0.56044316,-0.844778,-0.88584644,0.5156676,0.57216763,-0.91716266,-0.82436126,-0.45049283,-0.539243,-0.7128459,0.3931127,0.39197406
0.56214243,-0.7222173,-0.7798113,0.4672037,0.52528214,-0.5916818,-0.8750678,-0.5766458,-0.7630867,-0.81184596,0.19441299,-0.026480354
0.54630786,-0.62035996,-0.7412978,0.40384874,0.49589637,-0.42868215,-0.5770081,-0.11826427,-0.07559232,-0.59001064,0.39148602,-0.08856208
0.47358692,-0.56654245,-0.6202867,0.2776961,0.43715903,-0.11253258,-0.31815493,-0.120278455,-0.08474243,-0.5283977,-0.34032845,-0.2450083
0.24638289,-0.120144226,-0.1287388,-0.024370404,0.19439612,0.06931571,-0.13238524,-0.11891582,-0.032123476,-0.40123287,-0.42651922,-0.2732499
-0.32851702,0.18193637,0.0927864,-0.1691154,-0.3132234,0.22311914,0.013386969,-0.18068635,-0.0903443,-0.2832436,-0.37953314,-0.32861072
-0.42086375,0.33636302,0.3247282,-0.1816046,-0.36955982,0.31339592,0.09917775,-0.12559853,-0.05141376,-0.251906,-0.3023091,-0.27669165
-0.49190333,0.39236987,0.38296565,-0.3006848,-0.43456632,0.39044824,0.19325367,-0.16638441,-0.054647665,-0.17292966,-0.33937606,-0.29761928
-0.5497792,0.39473176,0.39101174,-0.32751513,-0.48062173,0.39178765,0.22670035,-0.12286524,-0.046176087,-0.15788826,-0.2851769,-0.30722493
-0.5876635,0.4150147,0.4106842,-0.36592087,-0.51126283,0.39749286,0.23829065,-0.17038375,-0.0748192,-0.14037463,-0.32196763,-0.31853974
-0.6207241,0.42470297,0.43058306,-0.35101786,-0.53127354,0.40222058,0.16467145,-0.12516217,-0.04365633,-0.13927878,-0.32210547,-0.3167179
-0.6376407,0.44111082,0.44685346,-0.37174278,-0.592507,0.4236387,0.25013873,-0.10941692,0.0045229485,-0.11724988,-0.35797584,-0.3238293
-0.66881406,0.44969845,0.46110833,-0.36744532,-0.5788048,0.43610996,0.40161356,-0.018981978,0.12833312,-0.071460485,-0.36475927,-0.30423072
-0.4649753,0.44299406,0.46653545,-0.38389388,-0.57671666,0.44344723,0.4006259,0.022622867,0.17370607,-0.048242852,-0.36705145,-0.30381915
-0.3471695,0.42656976,0.4274861,-0.29983672,-0.48914146,0.40752003,0.39388043,0.09268828,0.15196882,-0.02379329,-0.30809107,-0.27802905
-0.27374852,0.40011004,0.39781505,-0.1921035,-0.36252567,0.40237844,0.39033416,0.106808536,0.09339353,-0.028618982,-0.22789083,-0.23948573
-0.19980414,0.19125545,0.23382095,-0.118660495,-0.19939043,0.25527996,0.23537953,0.098761156,0.07131561,-0.06448843,-0.16827613,-0.19014104
-0.14011566,0.15334582,0.08244036,-0.09217388,-0.11075001,0.15278324,0.122561365,0.055697735,0.03079409,-0.07316981,-0.14800541,-0.1536856
-0.11226463,0.07953309,0.047473393,-0.048391722,-0.019355413,0.059851583,0.037690658,0.03837369,-0.0017892104,-0.09154646,-0.08749733,-0.09687666
-0.061690483,0.06505759,0.03299308,-0.07208841,-0.04149068,0.05215147,-0.019513395,0.00249734,-0.008460528,-0.09202785,-0.093764864,-0.048158646
-0.036544435,0.044183258,0.020436123,-0.044431858,-0.04504572,0.04538022,-0.0064927023,0.007226222,0.0023468093,-0.08741112,-0.09079287,-0.014778522
-0.034848876,0.041722916,0.06563035,-0.06431921,-0.044831783,0.084655344,-0.02272608,-0.022946412,-0.017358765,-0.09118649,-0.11644163,-0.03522571
-0.031638876,0.064518176,0.06783818,-0.061695144,-0.07783256,0.08083632,-0.011030644,0.0029036023,-0.006649575,-0.08090823,-0.079827264,-0.010394467
-0.012594481,0.10947834,0.10349016,-0.10434701,-0.0899265,0.10232234,-0.091918334,-0.022599038,-0.023703218,-0.09314797,-0.097197145,-0.024599923
-0.023781762,0.09437049,0.054912616,-0.12031294,-0.072762415,0.09462019,-0.16380377,-0.018577494,-0.011787435,-0.08894397,-0.07091372,-0.026705232
0.02212375,0.12582816,0.09293386,-0.122130886,-0.07358827,0.11965694,-0.1676077,-0.04060175,-0.022285795,-0.09745751,-0.07364612,-0.025202837
0.02710882,0.102252506,0.0702457,-0.10380777,-0.034055796,0.0970592,-0.16185515,-0.0147959525,-0.013060929,-0.09289442,-0.049968794,-0.015404793
0.008901779,0.09818733,0.07244231,-0.0923179,-0.022704335,0.06692396,-0.13157338,-0.005074189,-0.0027611484,-0.09712588,-0.050538927,-0.017108351
-0.022433689,0.030838395,0.02036859,-0.041531947,-0.03651446,0.0151916975,-0.09732922,0.01484157,-0.010423283,-0.071826,-0.06182518,-0.018147234
-0.028115848,0.033068813,0.025317086,-0.05593128,-0.049899496,0.020742718,-0.06943663,-0.005901417,-0.002432699,-0.062468916,-0.06961289,-0.033418365
0.0064183488,0.004067935,-0.0036060654,-0.01730174,0.0017388446,-0.026532322,-0.04752784,0.026454207,0.020733396,-0.04708903,-0.074338675,-0.029068682
0.043348607,-0.0046264795,-0.0073135383,-0.016364664,0.015598373,-0.01684989,-0.05236793,-0.017349051,0.015234632,-0.04634063,-0.05644235,-0.02214463
0.0099678915,-0.0038274042,0.004425586,-0.018173095,0.0024114205,-0.04209375,-0.06403711,0.017279217,0.0019303834,-0.065149374,-0.019703938,-0.012886854
-0.066568725,-0.008571475,0.011338105,-0.034539424,-0.014381728,-0.05166816,-0.08164695,0.023353174,0.013812886,-0.07720736,-0.0035657135,-0.005011189
-0.022426868,-0.019832514,0.0022214614,-0.07922338,0.00081002695,-0.028995102,-0.07260811,0.04789919,-0.020863455,-0.0671592,-0.0562939,0.005289386
-0.016621817,-0.021762153,0.017114697,-0.1067169,-0.033285327,-0.04372662,-0.06604393,-0.001287698,-0.017038038,-0.058342673,-0.081124984,0.0027381412
-0.010864009,0.030431736,0.052494746,-0.12633288,-0.074603595,-0.0014317324,-0.04727904,0.022782257,-0.03158719,-0.042075336,-0.051179297,0.022749789
-0.011458819,0.11903649,0.07814686,-0.12845467,-0.09949311,0.19359347,0.00033587217,0.0019693945,-0.008878713,-0.013134529,0.013900339,0.037811663
0.03157466,0.030157449,-0.0029871971,-0.06812741,-0.09212743,0.020148352,-0.018007299,0.011867294,0.01744463,0.018229432,0.050273973,0.087771684
0.03076497,0.055027366,-0.00483527,-0.07319708,-0.093480855,0.023005093,0.02776246,0.060149632,0.03054616,0.07601403,0.053424228,0.06705061
-0.054951895,-0.13239875,-0.1559755,0.063195124,0.0007952152,-0.1419339,0.06433043,0.2035213,0.07215002,0.030764673,0.041545425,0.043464705
0.030419469,-0.32541817,-0.23359539,0.15656215,0.16959545,-0.22974057,0.1177177,0.3946482,-0.0025826336,0.06309767,0.22702457,0.16137037
0.40111104,-0.5818834,-0.5220433,0.39847204,0.41119057,-0.49337205,0.17964278,0.472938,0.025354821,0.26691324,0.40272713,0.40228152
0.48938435,-0.8124944,-0.8003659,0.39893773,0.50068694,-0.749014,-0.3058817,0.46567762,0.39714256,0.4161554,0.46421617,0.4689432
0.57081175,-0.92035913,-0.92581165,0.41290313,0.5991844,-0.9019098,-0.89713657,-0.34963793,-0.16274273,0.39285275,0.4626611,0.46562266
0.5550662,-0.8825916,-0.8772056,0.48042938,0.54928946,-0.9224674,-0.8172486,-0.5242949,-0.20158781,0.40520987,0.5436919,0.55048025
